,category,message,cleaned
1955,Drug/Narcotics,that personsmells like skunk,personsmel like skunk
1956,Drug/Narcotics,that personhad needles,personhad needl
1957,Drug/Narcotics,that persondropped needles,persondrop needl
1958,Drug/Narcotics,that personhas Heroin needles,personha heroin needl
1959,Drug/Narcotics,that person seems high,person seem high
1960,Drug/Narcotics,that personhas used ectasy,personha use ectasi
1961,Drug/Narcotics,that personhas used Amphetamines,personha use amphetamin
1962,Drug/Narcotics,that personhas used Cocaine,personha use cocain
1963,Drug/Narcotics,that personhas used Methamphetamine,personha use methamphetamin
1964,Drug/Narcotics,that personhas used crack,personha use crack
1965,Drug/Narcotics,that personon drugs,personon drug
1966,Drug/Narcotics,that personMarijuana Dispensary,personmarijuana dispensari
1967,Drug/Narcotics,that personweed,personwe
1968,Drug/Narcotics,that personsmells like weed,personsmel like weed
1969,Drug/Narcotics,that personMarijuana,personmarijuana
1970,Drug/Narcotics,that persondid dumb things because they are drunk,persondid dumb thing drunk
1971,Drug/Narcotics,that persondrunk in public,persondrunk public
1972,Drug/Narcotics,that personsmells like alcohol,personsmel like alcohol
1973,Drug/Narcotics,that personblacked out,personblack
1974,Drug/Narcotics,that personwas drinking,personwa drink
1975,Drug/Narcotics,that person had vodka,person vodka
1976,Drug/Narcotics,that person has beer,person beer
1977,Drug/Narcotics,that personat a bar,personat bar
1978,Drug/Narcotics,that persongin,persongin
1979,Drug/Narcotics,that personpossession,personpossess
1980,Drug/Narcotics,that personbong,personbong
1981,Drug/Narcotics,that personselling drugs,personsel drug
1982,Drug/Narcotics,that persondealing drugs,persond drug
1983,Drug/Narcotics,that persondealing weed,persond weed
1984,Drug/Narcotics,that personrock,personrock
1985,Drug/Narcotics,that personounce,personounc
1986,Drug/Narcotics,that persongram,persongram
1987,Drug/Narcotics,that personhas white powder,personha white powder
1988,Drug/Narcotics,that persontrafficking,persontraffick
1989,Drug/Narcotics,that personhas a lot of drugs,personha lot drug
1990,Drug/Narcotics,that personhas a shipment,personha shipment
1991,Drug/Narcotics,that personhallucinating,personhallucin
1992,Drug/Narcotics,that persontripping out,persontrip
1993,Drug/Narcotics,that persontook acid,persontook acid
1994,Drug/Narcotics,that personis addicted to,personi addict
1995,Drug/Narcotics,that persongrowing weed,persongrow weed
1996,Drug/Narcotics,that personcooking meth,personcook meth
1997,Drug/Narcotics,that personmaking meth,personmak meth
1998,Drug/Narcotics,that personis making drugs,personi make drug
1999,Drug/Narcotics,that personsmoking a blunt,personsmok blunt
2000,Drug/Narcotics,that persontripping out,persontrip
2001,Drug/Narcotics,that persondrank too much,persondrank much
2002,Drug/Narcotics,that persongreened out,persongreen
2003,Drug/Narcotics,that persongreen,persongreen
2004,Drug/Narcotics,themtook drugs,themtook drug
2005,Drug/Narcotics,themsnorted drugs,themsnort drug
2006,Drug/Narcotics,themhad drugs,themhad drug
2007,Drug/Narcotics,themsmoked drugs,themsmok drug
2008,Drug/Narcotics,theminjected drugs,theminject drug
2009,Drug/Narcotics,themdoing drugs,themdo drug
2010,Drug/Narcotics,themheroin,themheroin
2011,Drug/Narcotics,themhad meth,themhad meth
2012,Drug/Narcotics,themhad crack,themhad crack
2013,Drug/Narcotics,themhad weed,themhad weed
2014,Drug/Narcotics,themhad coke,themhad coke
2015,Drug/Narcotics,themhad cocaine,themhad cocain
2016,Drug/Narcotics,themdoing meth,themdo meth
2017,Drug/Narcotics,themdoing coke,themdo coke
2018,Drug/Narcotics,themwas selling drugs,themwa sell drug
2019,Drug/Narcotics,themwas selling coke,themwa sell coke
2020,Drug/Narcotics,themwas selling meth,themwa sell meth
2021,Drug/Narcotics,themwas selling weed,themwa sell weed
2022,Drug/Narcotics,themwas selling xanax,themwa sell xanax
2023,Drug/Narcotics,themsmoked weed,themsmok weed
2024,Drug/Narcotics,themsmoked crack,themsmok crack
2025,Drug/Narcotics,themsmoked meth,themsmok meth
2026,Drug/Narcotics,themsmoked from a pipe,themsmok pipe
2027,Drug/Narcotics,themhad a joint,themhad joint
2028,Drug/Narcotics,themsmells like weed,themsmel like weed
2029,Drug/Narcotics,themsmells like skunk,themsmel like skunk
2030,Drug/Narcotics,themhad needles,themhad needl
2031,Drug/Narcotics,themdropped needles,themdrop needl
2032,Drug/Narcotics,themhas Heroin needles,themha heroin needl
2033,Drug/Narcotics,them seems high,seem high
2034,Drug/Narcotics,themhas used ectasy,themha use ectasi
2035,Drug/Narcotics,themhas used Amphetamines,themha use amphetamin
2036,Drug/Narcotics,themhas used Cocaine,themha use cocain
2037,Drug/Narcotics,themhas used Methamphetamine,themha use methamphetamin
2038,Drug/Narcotics,themhas used crack,themha use crack
2039,Drug/Narcotics,themon drugs,themon drug
2040,Drug/Narcotics,themMarijuana Dispensary,themmarijuana dispensari
2041,Drug/Narcotics,themweed,themwe
2042,Drug/Narcotics,themsmells like weed,themsmel like weed
2043,Drug/Narcotics,themMarijuana,themmarijuana
2044,Drug/Narcotics,themdid dumb things because they are drunk,themdid dumb thing drunk
2045,Drug/Narcotics,themdrunk in public,themdrunk public
2046,Drug/Narcotics,themsmells like alcohol,themsmel like alcohol
2047,Drug/Narcotics,themblacked out,themblack
2048,Drug/Narcotics,themwas drinking,themwa drink
2049,Drug/Narcotics,them had vodka,vodka
2050,Drug/Narcotics,them has beer,beer
2051,Drug/Narcotics,themat a bar,themat bar
2052,Drug/Narcotics,themgin,themgin
2053,Drug/Narcotics,thempossession,thempossess
2054,Drug/Narcotics,thembong,thembong
2055,Drug/Narcotics,themselling drugs,themsel drug
2056,Drug/Narcotics,themdealing drugs,themdeal drug
2057,Drug/Narcotics,themdealing weed,themdeal weed
2058,Drug/Narcotics,themrock,themrock
2059,Drug/Narcotics,themounce,themounc
2060,Drug/Narcotics,themgram,themgram
2061,Drug/Narcotics,themhas white powder,themha white powder
2062,Drug/Narcotics,themtrafficking,themtraffick
2063,Drug/Narcotics,themhas a lot of drugs,themha lot drug
2064,Drug/Narcotics,themhas a shipment,themha shipment
2065,Drug/Narcotics,themhallucinating,themhallucin
2066,Drug/Narcotics,themtripping out,themtrip
2067,Drug/Narcotics,themtook acid,themtook acid
2068,Drug/Narcotics,themis addicted to,themi addict
2069,Drug/Narcotics,themgrowing weed,themgrow weed
2070,Drug/Narcotics,themcooking meth,themcook meth
2071,Drug/Narcotics,themmaking meth,themmak meth
2072,Drug/Narcotics,themis making drugs,themi make drug
2073,Drug/Narcotics,themsmoking a blunt,themsmok blunt
2074,Drug/Narcotics,themtripping out,themtrip
2075,Drug/Narcotics,themdrank too much,themdrank much
2076,Drug/Narcotics,themgreened out,themgreen
2077,Drug/Narcotics,themgreen,themgreen
2078,Drug/Narcotics,I seetook drugs,i seetook drug
2079,Drug/Narcotics,I seesnorted drugs,i seesnort drug
2080,Drug/Narcotics,I seehad drugs,i seehad drug
2081,Drug/Narcotics,I seesmoked drugs,i seesmok drug
2082,Drug/Narcotics,I seeinjected drugs,i seeinject drug
2083,Drug/Narcotics,I seedoing drugs,i seedo drug
2084,Drug/Narcotics,I seeheroin,i seeheroin
2085,Drug/Narcotics,I seehad meth,i seehad meth
2086,Drug/Narcotics,I seehad crack,i seehad crack
2087,Drug/Narcotics,I seehad weed,i seehad weed
2088,Drug/Narcotics,I seehad coke,i seehad coke
2089,Drug/Narcotics,I seehad cocaine,i seehad cocain
2090,Drug/Narcotics,I seedoing meth,i seedo meth
2091,Drug/Narcotics,I seedoing coke,i seedo coke
2092,Drug/Narcotics,I seewas selling drugs,i seewa sell drug
2093,Drug/Narcotics,I seewas selling coke,i seewa sell coke
2094,Drug/Narcotics,I seewas selling meth,i seewa sell meth
2095,Drug/Narcotics,I seewas selling weed,i seewa sell weed
2096,Drug/Narcotics,I seewas selling xanax,i seewa sell xanax
2097,Drug/Narcotics,I seesmoked weed,i seesmok weed
2098,Drug/Narcotics,I seesmoked crack,i seesmok crack
2099,Drug/Narcotics,I seesmoked meth,i seesmok meth
2100,Drug/Narcotics,I seesmoked from a pipe,i seesmok pipe
2101,Drug/Narcotics,I seehad a joint,i seehad joint
2102,Drug/Narcotics,I seesmells like weed,i seesmel like weed
2103,Drug/Narcotics,I seesmells like skunk,i seesmel like skunk
2104,Drug/Narcotics,I seehad needles,i seehad needl
2105,Drug/Narcotics,I seedropped needles,i seedrop needl
2106,Drug/Narcotics,I seehas Heroin needles,i seeha heroin needl
2107,Drug/Narcotics,I see seems high,i see seem high
2108,Drug/Narcotics,I seehas used ectasy,i seeha use ectasi
2109,Drug/Narcotics,I seehas used Amphetamines,i seeha use amphetamin
2110,Drug/Narcotics,I seehas used Cocaine,i seeha use cocain
2111,Drug/Narcotics,I seehas used Methamphetamine,i seeha use methamphetamin
2112,Drug/Narcotics,I seehas used crack,i seeha use crack
2113,Drug/Narcotics,I seeon drugs,i seeon drug
2114,Drug/Narcotics,I seeMarijuana Dispensary,i seemarijuana dispensari
2115,Drug/Narcotics,I seeweed,i seewe
2116,Drug/Narcotics,I seesmells like weed,i seesmel like weed
2117,Drug/Narcotics,I seeMarijuana,i seemarijuana
2118,Drug/Narcotics,I seedid dumb things because they are drunk,i seedid dumb thing drunk
2119,Drug/Narcotics,I seedrunk in public,i seedrunk public
2120,Drug/Narcotics,I seesmells like alcohol,i seesmel like alcohol
2121,Drug/Narcotics,I seeblacked out,i seeblack
2122,Drug/Narcotics,I seewas drinking,i seewa drink
2123,Drug/Narcotics,I see had vodka,i see vodka
2124,Drug/Narcotics,I see has beer,i see beer
2125,Drug/Narcotics,I seeat a bar,i seeat bar
2126,Drug/Narcotics,I seegin,i seegin
2127,Drug/Narcotics,I seepossession,i seepossess
2128,Drug/Narcotics,I seebong,i seebong
2129,Drug/Narcotics,I seeselling drugs,i seesel drug
2130,Drug/Narcotics,I seedealing drugs,i seedeal drug
2131,Drug/Narcotics,I seedealing weed,i seedeal weed
2132,Drug/Narcotics,I seerock,i seerock
2133,Drug/Narcotics,I seeounce,i seeounc
2134,Drug/Narcotics,I seegram,i seegram
2135,Drug/Narcotics,I seehas white powder,i seeha white powder
2136,Drug/Narcotics,I seetrafficking,i seetraffick
2137,Drug/Narcotics,I seehas a lot of drugs,i seeha lot drug
2138,Drug/Narcotics,I seehas a shipment,i seeha shipment
2139,Drug/Narcotics,I seehallucinating,i seehallucin
2140,Drug/Narcotics,I seetripping out,i seetrip
2141,Drug/Narcotics,I seetook acid,i seetook acid
2142,Drug/Narcotics,I seeis addicted to,i seei addict
2143,Drug/Narcotics,I seegrowing weed,i seegrow weed
2144,Drug/Narcotics,I seecooking meth,i seecook meth
2145,Drug/Narcotics,I seemaking meth,i seemak meth
2146,Drug/Narcotics,I seeis making drugs,i seei make drug
2147,Drug/Narcotics,I seesmoking a blunt,i seesmok blunt
2148,Drug/Narcotics,I seetripping out,i seetrip
2149,Drug/Narcotics,I seedrank too much,i seedrank much
2150,Drug/Narcotics,I seegreened out,i seegreen
2151,Drug/Narcotics,I seegreen,i seegreen
2152,Drug/Narcotics,There istook drugs,there istook drug
2153,Drug/Narcotics,There issnorted drugs,there issnort drug
2154,Drug/Narcotics,There ishad drugs,there ishad drug
2155,Drug/Narcotics,There issmoked drugs,there issmok drug
2156,Drug/Narcotics,There isinjected drugs,there isinject drug
2157,Drug/Narcotics,There isdoing drugs,there isdo drug
2158,Drug/Narcotics,There isheroin,there isheroin
2159,Drug/Narcotics,There ishad meth,there ishad meth
2160,Drug/Narcotics,There ishad crack,there ishad crack
2161,Drug/Narcotics,There ishad weed,there ishad weed
2162,Drug/Narcotics,There ishad coke,there ishad coke
2163,Drug/Narcotics,There ishad cocaine,there ishad cocain
2164,Drug/Narcotics,There isdoing meth,there isdo meth
2165,Drug/Narcotics,There isdoing coke,there isdo coke
2166,Drug/Narcotics,There iswas selling drugs,there iswa sell drug
2167,Drug/Narcotics,There iswas selling coke,there iswa sell coke
2168,Drug/Narcotics,There iswas selling meth,there iswa sell meth
2169,Drug/Narcotics,There iswas selling weed,there iswa sell weed
2170,Drug/Narcotics,There iswas selling xanax,there iswa sell xanax
2171,Drug/Narcotics,There issmoked weed,there issmok weed
2172,Drug/Narcotics,There issmoked crack,there issmok crack
2173,Drug/Narcotics,There issmoked meth,there issmok meth
2174,Drug/Narcotics,There issmoked from a pipe,there issmok pipe
2175,Drug/Narcotics,There ishad a joint,there ishad joint
2176,Drug/Narcotics,There issmells like weed,there issmel like weed
2177,Drug/Narcotics,There issmells like skunk,there issmel like skunk
2178,Drug/Narcotics,There ishad needles,there ishad needl
2179,Drug/Narcotics,There isdropped needles,there isdrop needl
2180,Drug/Narcotics,There ishas Heroin needles,there isha heroin needl
2181,Drug/Narcotics,There is seems high,there seem high
2182,Drug/Narcotics,There ishas used ectasy,there isha use ectasi
2183,Drug/Narcotics,There ishas used Amphetamines,there isha use amphetamin
2184,Drug/Narcotics,There ishas used Cocaine,there isha use cocain
2185,Drug/Narcotics,There ishas used Methamphetamine,there isha use methamphetamin
2186,Drug/Narcotics,There ishas used crack,there isha use crack
2187,Drug/Narcotics,There ison drugs,there ison drug
2188,Drug/Narcotics,There isMarijuana Dispensary,there ismarijuana dispensari
2189,Drug/Narcotics,There isweed,there iswe
2190,Drug/Narcotics,There issmells like weed,there issmel like weed
2191,Drug/Narcotics,There isMarijuana,there ismarijuana
2192,Drug/Narcotics,There isdid dumb things because they are drunk,there isdid dumb thing drunk
2193,Drug/Narcotics,There isdrunk in public,there isdrunk public
2194,Drug/Narcotics,There issmells like alcohol,there issmel like alcohol
2195,Drug/Narcotics,There isblacked out,there isblack
2196,Drug/Narcotics,There iswas drinking,there iswa drink
2197,Drug/Narcotics,There is had vodka,there vodka
2198,Drug/Narcotics,There is has beer,there beer
2199,Drug/Narcotics,There isat a bar,there isat bar
2200,Drug/Narcotics,There isgin,there isgin
2201,Drug/Narcotics,There ispossession,there ispossess
2202,Drug/Narcotics,There isbong,there isbong
2203,Drug/Narcotics,There isselling drugs,there issel drug
2204,Drug/Narcotics,There isdealing drugs,there isdeal drug
2205,Drug/Narcotics,There isdealing weed,there isdeal weed
2206,Drug/Narcotics,There isrock,there isrock
2207,Drug/Narcotics,There isounce,there isounc
2208,Drug/Narcotics,There isgram,there isgram
2209,Drug/Narcotics,There ishas white powder,there isha white powder
2210,Drug/Narcotics,There istrafficking,there istraffick
2211,Drug/Narcotics,There ishas a lot of drugs,there isha lot drug
2212,Drug/Narcotics,There ishas a shipment,there isha shipment
2213,Drug/Narcotics,There ishallucinating,there ishallucin
2214,Drug/Narcotics,There istripping out,there istrip
2215,Drug/Narcotics,There istook acid,there istook acid
2216,Drug/Narcotics,There isis addicted to,there isi addict
2217,Drug/Narcotics,There isgrowing weed,there isgrow weed
2218,Drug/Narcotics,There iscooking meth,there iscook meth
2219,Drug/Narcotics,There ismaking meth,there ismak meth
2220,Drug/Narcotics,There isis making drugs,there isi make drug
2221,Drug/Narcotics,There issmoking a blunt,there issmok blunt
2222,Drug/Narcotics,There istripping out,there istrip
2223,Drug/Narcotics,There isdrank too much,there isdrank much
2224,Drug/Narcotics,There isgreened out,there isgreen
2225,Drug/Narcotics,There isgreen,there isgreen
2226,Drug/Narcotics,Anothertook drugs,anothertook drug
2227,Drug/Narcotics,Anothersnorted drugs,anothersnort drug
2228,Drug/Narcotics,Anotherhad drugs,anotherhad drug
2229,Drug/Narcotics,Anothersmoked drugs,anothersmok drug
2230,Drug/Narcotics,Anotherinjected drugs,anotherinject drug
2231,Drug/Narcotics,Anotherdoing drugs,anotherdo drug
2232,Drug/Narcotics,Anotherheroin,anotherheroin
2233,Drug/Narcotics,Anotherhad meth,anotherhad meth
2234,Drug/Narcotics,Anotherhad crack,anotherhad crack
2235,Drug/Narcotics,Anotherhad weed,anotherhad weed
2236,Drug/Narcotics,Anotherhad coke,anotherhad coke
2237,Drug/Narcotics,Anotherhad cocaine,anotherhad cocain
2238,Drug/Narcotics,Anotherdoing meth,anotherdo meth
2239,Drug/Narcotics,Anotherdoing coke,anotherdo coke
2240,Drug/Narcotics,Anotherwas selling drugs,anotherwa sell drug
2241,Drug/Narcotics,Anotherwas selling coke,anotherwa sell coke
2242,Drug/Narcotics,Anotherwas selling meth,anotherwa sell meth
2243,Drug/Narcotics,Anotherwas selling weed,anotherwa sell weed
2244,Drug/Narcotics,Anotherwas selling xanax,anotherwa sell xanax
2245,Drug/Narcotics,Anothersmoked weed,anothersmok weed
2246,Drug/Narcotics,Anothersmoked crack,anothersmok crack
2247,Drug/Narcotics,Anothersmoked meth,anothersmok meth
2248,Drug/Narcotics,Anothersmoked from a pipe,anothersmok pipe
2249,Drug/Narcotics,Anotherhad a joint,anotherhad joint
2250,Drug/Narcotics,Anothersmells like weed,anothersmel like weed
2251,Drug/Narcotics,Anothersmells like skunk,anothersmel like skunk
2252,Drug/Narcotics,Anotherhad needles,anotherhad needl
2253,Drug/Narcotics,Anotherdropped needles,anotherdrop needl
2254,Drug/Narcotics,Anotherhas Heroin needles,anotherha heroin needl
2255,Drug/Narcotics,Another seems high,anoth seem high
2256,Drug/Narcotics,Anotherhas used ectasy,anotherha use ectasi
2257,Drug/Narcotics,Anotherhas used Amphetamines,anotherha use amphetamin
2258,Drug/Narcotics,Anotherhas used Cocaine,anotherha use cocain
2259,Drug/Narcotics,Anotherhas used Methamphetamine,anotherha use methamphetamin
2260,Drug/Narcotics,Anotherhas used crack,anotherha use crack
2261,Drug/Narcotics,Anotheron drugs,anotheron drug
2262,Drug/Narcotics,AnotherMarijuana Dispensary,anothermarijuana dispensari
2263,Drug/Narcotics,Anotherweed,anotherwe
2264,Drug/Narcotics,Anothersmells like weed,anothersmel like weed
2265,Drug/Narcotics,AnotherMarijuana,anothermarijuana
2266,Drug/Narcotics,Anotherdid dumb things because they are drunk,anotherdid dumb thing drunk
2267,Drug/Narcotics,Anotherdrunk in public,anotherdrunk public
2268,Drug/Narcotics,Anothersmells like alcohol,anothersmel like alcohol
2269,Drug/Narcotics,Anotherblacked out,anotherblack
